"id","fiber.type","train.pre.pos","iso.fo","spec.fo"
35,1,1,0.775,110.8
35,1,1,0.526,138.3
35,1,1,1.098,128.3
35,1,1,0.517,135.2
35,1,1,0.781,149.2
35,1,1,0.615,143.3
35,2,1,1.016,191.1
35,1,1,0.872,125.2
35,1,1,0.57,118
35,1,1,0.424,96.8
35,1,1,0.839,190
35,1,1,1.13,128.8
35,2,1,0.55,143
35,1,1,0.368,119
35,1,1,0.911,147
35,1,1,0.482,159.1
35,1,1,0.621,137
35,1,1,0.428,125.4
35,1,1,0.641,111.4
45,1,0,0.661,157
45,2,0,0.677,166
45,2,0,0.594,160.1
45,2,0,0.882,145.2
45,2,0,0.419,173.5
45,2,0,0.464,133.2
45,1,0,0.536,133
45,2,0,0.725,133.7
45,2,0,0.837,164.6
45,1,0,0.711,170.1
45,2,0,0.479,157.8
45,1,0,0.675,154.2
45,1,0,0.846,165
45,2,0,0.308,165.8
45,1,0,0.555,147.6
45,1,0,0.853,151.9
45,1,0,0.572,140.7
45,2,0,0.411,131.2
45,2,0,0.53,171.5
45,1,0,0.593,161.1
45,1,1,0.799,145.6
45,2,1,0.569,164.8
45,1,1,0.844,156.7
45,1,1,0.767,150.8
45,1,1,0.692,129.7
45,1,1,0.752,163.7
45,1,1,0.456,124.9
45,1,1,0.584,80.5
45,2,1,0.73,155.7
45,2,1,1.007,190.2
45,1,1,0.852,155.2
45,1,1,0.795,81.3
45,1,1,0.762,155.1
45,1,1,0.596,147.7
45,2,1,1.095,190.2
45,1,1,0.89,147.8
45,1,1,1.198,167.1
45,1,1,1.005,141.4
45,2,1,1.206,134
45,2,1,1.015,89.9
50,2,0,1.024,205.6
50,1,0,0.8,145.2
50,2,0,1.152,231.3
50,2,0,0.848,137.8
50,1,0,0.376,183.9
50,2,0,1.294,164.7
50,1,0,0.632,117
50,1,0,0.969,188.2
50,2,0,0.467,165.3
50,2,0,0.945,185.5
50,1,0,0.816,149.7
50,1,0,1.121,173
50,1,0,0.821,173.3
50,1,0,0.472,122.3
50,1,0,0.797,150.1
50,1,0,0.595,148.9
50,1,0,0.455,87.4
50,1,0,0.633,143.9
50,1,0,0.652,145
50,2,0,0.985,171.9
50,1,0,0.869,193.6
50,2,0,1.035,196.6
50,2,1,1.585,208.6
50,2,1,1.21,160.5
50,2,1,1.051,164.1
50,1,1,0.685,124.9
50,2,1,0.615,182
50,1,1,0.899,143.3
50,1,1,0.738,157.1
50,2,1,0.962,147.1
50,1,1,0.716,140
50,1,1,0.817,142.8
50,2,1,1.086,179.6
50,1,1,0.73,233.9
50,1,1,1.101,143.1
50,1,1,0.76,169.6
50,1,1,1.09,160.1
50,2,1,0.83,144.9
50,2,1,1.411,186.3
50,2,1,1.701,179.5
50,2,1,1.247,181.9
50,2,1,1.481,170.7
50,2,1,1.152,220.6
50,2,1,1.066,221.8
50,2,1,1.003,174.6
50,2,1,0.98,162.9
60,1,0,0.826,112.7
60,1,0,0.919,133.3
60,1,0,0.562,174.6
60,1,0,0.788,114.1
60,2,0,0.493,114.7
60,1,0,0.6,116
60,1,0,1.032,143.8
60,1,0,1.058,149
60,1,0,0.729,140.9
60,1,0,0.836,128.4
60,1,0,0.702,123.6
60,1,0,0.549,157.8
60,1,0,0.536,140.3
60,1,0,0.608,140.3
60,1,0,0.633,141.3
60,1,0,0.677,109.4
60,2,1,1.014,182.3
60,1,1,0.902,164.9
60,1,1,0.691,173.3
60,1,1,0.752,178.7
60,1,1,0.626,149.4
60,1,1,0.891,162.8
60,2,1,0.423,141.9
60,2,1,0.424,145.7
60,1,1,0.392,119.7
60,2,1,0.553,178
60,1,1,0.69,155.5
60,2,1,0.309,123
60,1,1,0.675,145.7
60,2,1,0.69,201.1
60,2,1,0.545,150.8
60,2,1,0.802,151
60,2,1,0.669,110.9
60,2,1,0.825,183.1
60,2,1,0.583,150.6
70,1,0,0.225,87.1
70,1,0,0.251,109.7
70,1,0,0.454,146.3
70,1,0,0.644,150.4
70,1,0,0.73,168.7
70,1,0,0.596,156.1
70,1,0,0.628,147.9
70,2,0,0.69,164.7
70,2,0,0.365,138.4
70,1,0,0.71,169.9
70,2,0,0.688,175.4
70,1,0,0.883,154.4
70,1,0,1.324,262.7
70,2,0,0.746,169.5
70,1,0,0.563,173.3
70,2,0,0.671,179.9
70,1,0,0.695,120.4
70,1,0,0.353,170.3
70,1,0,0.879,145.3
70,1,0,0.315,125.7
70,1,1,0.815,163.3
70,1,1,0.493,124.5
70,1,1,0.85,165.3
70,1,1,0.405,106
70,2,1,0.778,157.4
70,1,1,0.439,153.5
70,2,1,0.6,158.8
70,1,1,0.527,129.1
70,1,1,0.401,106.9
70,1,1,0.749,174.6
70,1,1,0.625,137.8
70,2,1,0.918,157
70,1,1,0.856,189.7
70,2,1,1.029,198.9
70,2,1,1.108,215.3
70,2,1,1.098,182.2
70,1,1,0.413,142.7
70,1,1,0.432,145.2
70,1,1,0.537,98.4
70,1,1,0.41,96
90,2,0,0.706,155.1
90,2,0,0.714,196.5
90,1,0,1.081,166.4
90,1,0,0.59,112.5
90,1,0,0.922,130.5
90,1,0,0.37,127
90,2,0,1.075,214
90,2,0,0.869,185.1
90,1,0,1.396,140.6
90,1,0,0.6,141.2
90,1,0,0.828,174.4
90,2,0,0.575,153.4
90,2,0,0.993,187.8
90,1,0,1.135,117.8
90,2,0,0.822,134.9
90,2,0,0.842,187.9
90,2,0,1.263,245.2
90,1,0,0.653,156.8
90,1,0,1.361,171
90,1,0,1.175,156.7
90,1,1,0.705,155
90,1,1,1.29,119.8
90,1,1,0.821,99.3
90,1,1,1.072,167.7
90,1,1,1.136,162.9
90,2,1,1.027,206.7
90,2,1,0.983,166.8
90,2,1,0.874,176.1
90,2,1,0.889,163.8
90,1,1,1.059,189.6
90,1,1,1.197,162.9
90,1,1,0.755,161.7
90,2,1,0.849,208.9
90,1,1,1.346,146
90,1,1,1.239,101.9
90,2,1,0.713,166
90,1,1,0.76,142.8
90,1,1,0.972,145
90,2,1,0.885,177.5
90,1,1,0.621,108.9
95,1,0,0.684,138.7
95,2,0,0.53,161.3
95,1,0,0.594,135.2
95,1,0,0.766,144.4
95,1,0,0.516,107.7
95,2,0,0.605,143.4
95,2,0,0.712,152.9
95,1,0,0.797,234.8
95,2,0,0.65,145.4
95,2,0,0.395,116
95,1,0,0.876,182.7
95,1,0,0.74,172.5
95,2,0,0.945,155
95,2,0,1.016,177.5
95,2,0,0.702,101.9
95,2,0,0.575,155.8
95,2,0,0.648,156.4
95,2,0,0.382,132
95,1,0,0.366,111.3
95,2,0,0.572,183.5
95,2,0,0.639,165.7
95,1,0,0.564,140.9
95,2,0,0.651,167.9
95,2,1,0.92,222.2
95,1,1,0.949,247.8
95,1,1,0.63,169.2
95,2,1,1.163,211.7
95,2,1,1.121,203.9
95,2,1,0.723,135.2
95,1,1,0.721,153.9
95,1,1,0.636,194.1
95,2,1,0.783,162.9
95,2,1,1.147,243.6
95,1,1,0.564,175.3
95,2,1,0.775,229.8
95,2,1,1.105,247.4
95,2,1,0.831,200
95,2,1,1.058,226.2
95,1,1,0.484,169.5
95,2,1,0.972,210.2
95,1,1,0.756,183.5
95,1,1,0.904,178.5
95,2,1,0.795,200.1
95,2,1,0.557,149.4
105,1,0,0.73,112.7
105,1,0,1.623,168.4
105,1,0,1.026,148
105,1,0,1.544,147.1
105,1,0,1.93,159.5
105,2,0,1.156,174.3
105,1,0,0.555,142.3
105,2,0,1.041,184.9
105,1,0,0.669,87.5
105,1,0,1.37,112.4
105,1,0,0.862,101.8
105,1,0,1.285,147.2
105,1,0,0.811,83.8
105,1,0,1.268,126.8
105,1,0,0.899,143.6
105,1,0,0.673,133.2
105,1,0,1.22,114.9
105,1,0,0.957,123.9
105,1,0,1.392,159.4
105,1,0,1.048,117.9
105,1,1,0.888,156.6
105,1,1,1.214,126.6
105,1,1,1.893,158.6
105,1,1,0.93,121
105,2,1,0.955,153.1
105,1,1,1.047,125
105,1,1,0.778,124.4
105,2,1,1.426,154.8
105,1,1,1.277,108.1
105,1,1,1.429,173.1
105,1,1,0.802,132.6
105,1,1,1.804,155.8
105,1,1,1.364,133.6
105,1,1,0.875,130.3
105,2,1,1.262,179
105,1,1,1.701,170.3
105,1,1,1.4,195.5
105,1,1,2.094,206.8
105,1,1,0.811,140.7
105,1,1,0.785,170.8
110,1,0,1.038,189.1
110,1,0,1.009,196.3
110,1,0,0.689,155.6
110,1,0,0.566,157.2
110,1,0,0.779,184.6
110,2,0,0.533,149.8
110,1,0,0.591,164.3
110,1,0,0.379,154.8
110,2,0,0.599,172.5
110,1,0,0.501,143.4
110,2,0,0.64,165
110,1,0,0.697,139.7
110,1,0,0.751,166.4
110,1,0,0.66,165.7
110,1,0,0.76,186.7
110,1,0,0.78,190.5
110,1,0,0.538,173.3
110,1,0,0.884,215.3
110,1,0,1.011,188.4
110,1,0,0.894,186.7
110,2,0,0.583,203.3
110,1,0,0.592,173.5
110,1,1,0.898,207.4
110,1,1,0.603,183.3
110,1,1,0.594,201.6
110,2,1,1.042,284.6
110,1,1,0.691,167.1
110,1,1,0.652,164.6
110,1,1,0.854,154.1
110,1,1,0.813,177.6
110,1,1,0.735,158.8
110,1,1,0.871,212.8
110,1,1,0.898,188.3
110,1,1,0.723,170.2
110,1,1,0.746,163.3
110,1,1,0.591,179.4
110,1,1,0.787,190.1
110,1,1,0.749,158
110,2,1,0.547,112.2
110,1,1,0.649,171.4
110,2,1,0.53,170.7
125,1,0,0.964,148
125,1,0,0.75,143.3
125,1,0,1.228,134.5
125,1,0,1.084,163.7
125,2,0,0.907,142.6
125,1,0,0.851,139.6
125,2,0,1.336,184.5
125,2,0,1.157,181.3
125,2,0,0.805,177.5
125,2,0,0.93,160.9
125,2,0,0.542,168.2
125,2,0,0.838,158.4
125,1,0,0.488,127.8
125,1,0,1.216,162.6
125,1,0,0.657,156.2
125,1,0,0.96,155.8
125,2,0,0.86,197.5
125,2,0,0.97,179.8
125,1,1,1.141,137.8
125,1,1,0.953,150
125,1,1,1.034,114.6
125,1,1,0.688,139.1
125,1,1,0.783,130.2
125,1,1,1.16,145.6
125,2,1,0.972,135.8
125,1,1,1.365,141.5
125,1,1,1.401,138.8
125,1,1,0.748,156.3
125,2,1,1.062,153.7
125,1,1,1.272,169.5
125,2,1,0.834,148.3
125,1,1,0.969,138.3
125,1,1,1.029,167.2
125,1,1,1.179,148.8
125,2,1,1.146,134.5
125,1,1,1.183,119.4
125,2,1,0.856,168.2
125,2,1,1.35,136.2
130,1,0,1.131,138
130,1,0,1.14,128.2
130,1,0,0.903,142.1
130,2,0,0.748,181.9
130,2,0,0.587,119.4
130,1,0,0.968,171
130,1,0,1.037,143.2
130,1,0,1.243,157.3
130,1,0,1.024,125.1
130,1,0,0.729,132.7
130,1,0,0.957,151.9
130,1,0,0.879,150.6
130,1,0,0.921,126.1
130,1,0,0.742,113.7
130,1,0,0.94,193
130,1,0,0.877,138
130,1,0,1.243,145.7
130,1,0,0.665,153.1
130,1,0,0.78,97
130,1,1,0.851,168.9
130,1,1,0.881,133.4
130,1,1,0.954,138.8
130,1,1,0.639,137.4
130,2,1,0.809,144.8
130,2,1,0.679,130.9
130,1,1,0.886,164.1
130,1,1,1.351,164.3
130,2,1,0.453,102.4
130,1,1,1.008,154.5
130,1,1,1.293,154.8
130,1,1,0.845,145.9
130,1,1,0.56,135.1
130,1,1,1.029,131.4
130,1,1,0.697,127.2
130,1,1,0.831,142.4
130,1,1,0.822,126.2
130,1,1,0.553,170.1
130,1,1,0.599,117.2
130,1,1,0.882,152.5
135,1,0,0.659,131.3
135,2,0,0.972,202.9
135,1,0,0.759,149.6
135,1,0,0.955,150
135,1,0,0.885,176.1
135,1,0,1.018,160.5
135,1,0,0.988,145.9
135,1,0,0.986,128.1
135,1,0,1.001,119.6
135,1,0,0.895,109
135,1,0,1.065,182
135,1,0,0.997,184.6
135,1,0,1.322,132.3
135,1,0,1.237,169.3
135,1,0,0.718,166
135,1,0,0.711,128.9
135,1,0,0.649,115.9
135,1,0,0.781,211.8
135,1,1,1.346,140.9
135,2,1,0.756,154
135,1,1,0.959,165.2
135,2,1,0.873,208.1
135,1,1,0.954,176.3
135,1,1,0.83,146.1
135,1,1,1.037,139
135,1,1,0.631,137.7
135,1,1,0.818,145.2
135,1,1,0.994,164.1
135,1,1,1.099,139.9
135,2,1,0.442,132.7
135,1,1,0.511,170
135,1,1,0.687,205.7
135,2,1,0.754,149.7
135,1,1,0.824,119.4
135,2,1,0.721,135.2
135,1,1,0.642,144.4
135,1,1,0.725,146.6
145,1,0,1.073,153.2
145,1,0,1.375,159.8
145,1,0,1.279,169.2
145,1,0,1.847,162.9
145,1,0,1.255,132.1
145,1,0,2.168,163.5
145,1,0,1.961,163.2
145,1,0,1.471,107.2
145,1,0,1.505,157.7
145,1,0,2.081,162.9
145,2,0,0.995,141.8
145,2,0,0.952,193.2
145,2,0,1.016,168.3
145,2,0,0.836,151.6
145,1,0,1.237,145.2
145,1,0,2.027,182.4
145,1,0,1.129,164.3
145,1,0,1.328,151.1
145,1,0,1.845,152.8
145,1,0,0.874,188.5
145,1,1,0.9,159.5
145,2,1,1.065,211.2
145,1,1,0.792,142.2
145,2,1,1.327,191.4
145,2,1,1.291,230.7
145,1,1,0.804,132.9
145,1,1,0.998,136.2
145,1,1,1.489,170.1
145,1,1,1.25,159.7
145,1,1,0.817,158.2
145,1,1,0.682,123.9
145,2,1,1.247,153.5
145,2,1,1.219,218
145,1,1,1.302,158.2
145,2,1,0.804,192.3
145,2,1,0.774,216.1
145,1,1,1.887,116.9
145,2,1,0.815,152.5
150,1,0,0.607,162.3
150,1,0,0.525,130.8
150,1,0,0.683,145.3
150,1,0,0.632,154.7
150,1,0,0.817,160.5
150,1,0,0.809,214.6
150,1,0,0.698,151.7
150,1,0,0.707,135.7
150,1,0,0.648,118.3
150,1,0,0.76,164.8
150,1,0,0.473,161
150,1,0,0.717,164.6
150,1,0,0.936,162.8
150,1,0,0.649,118.9
150,1,0,0.419,161.7
150,1,0,0.591,127.6
150,1,0,0.904,172.1
150,1,0,0.6,147.2
150,1,0,0.606,117.9
150,1,0,0.726,139.5
150,1,1,0.859,149.8
150,2,1,1.125,183.8
150,2,1,0.727,186.6
150,2,1,0.68,198
150,1,1,0.866,165.2
150,2,1,0.528,157.3
150,2,1,1.142,165.8
150,2,1,0.712,202
150,2,1,1.182,140.8
150,2,1,0.731,288.4
150,2,1,0.812,178
150,2,1,0.782,221
150,1,1,0.519,112.5
150,2,1,0.696,211.8
150,2,1,0.781,204.8
150,2,1,0.682,211.3
150,2,1,0.669,189.1
150,2,1,0.573,167.6
150,2,1,0.763,195.2
150,1,1,0.55,147.8
150,1,1,0.517,152.9
160,1,0,1.833,129.8
160,1,0,2.144,149.7
160,1,0,1.635,164.2
160,1,0,2.429,158.1
160,1,0,1.45,171.3
160,1,0,1.11,144.1
160,1,0,1.591,135.6
160,1,0,1.962,154.1
160,1,0,1.245,189.9
160,1,0,1.51,122.6
160,1,0,2.416,152.9
160,1,0,1.374,148
160,1,0,1.608,161.6
160,1,0,1.977,138.2
160,1,0,2.017,142.7
160,1,0,1.659,188.3
160,1,0,1.229,170.9
160,1,0,2.185,134.9
160,1,0,1.512,157.4
160,1,0,1.28,137.6
160,1,1,1.64,151.9
160,1,1,1.775,198.9
160,1,1,1.103,151.7
160,1,1,1.738,155.6
160,1,1,1.858,134.8
160,1,1,1.496,125.8
160,1,1,1.127,128.7
160,1,1,1.292,145.9
160,1,1,1.496,119.6
160,1,1,1.339,150
160,1,1,0.642,118.3
160,1,1,1.726,158.5
160,1,1,1.302,157.3
160,1,1,1.612,173.6
160,2,1,1.817,172.7
160,2,1,1.217,182.2
160,1,1,1.95,156.6
160,1,1,1.427,156
160,2,1,2.565,175.5
170,1,0,0.511,100
170,1,0,0.482,147.3
170,1,0,0.497,146.3
170,2,0,0.909,195.5
170,1,0,0.895,200.4
170,1,0,0.665,200.2
170,1,0,0.87,192.1
170,1,0,0.81,187.7
170,1,0,0.908,174.4
170,1,0,0.612,152.4
170,1,0,0.873,128
170,1,0,0.964,150.1
170,1,0,0.637,153.6
170,1,0,0.4,151.2
170,1,0,0.766,152
170,1,0,1.212,163.7
170,1,0,0.712,176.7
170,1,0,0.465,189.1
170,2,0,0.526,175
170,2,0,0.646,156.2
170,1,0,0.731,129.3
170,1,1,0.793,160.9
170,1,1,0.698,167.6
170,2,1,0.781,181.5
170,2,1,0.719,193.6
170,1,1,0.751,201.4
170,2,1,0.824,210.2
170,2,1,0.833,230.8
170,2,1,0.556,128.6
170,1,1,1.02,157.7
170,2,1,0.736,216.4
170,2,1,0.636,177
170,2,1,0.58,164.3
170,2,1,0.532,213.2
170,1,1,0.713,125.8
170,2,1,0.72,158.6
170,2,1,0.651,187.1
170,1,1,0.574,135.6
170,2,1,0.652,176.8
170,1,1,0.757,162.9
170,2,1,0.523,179.5
180,2,0,0.763,154
180,2,0,0.755,224.7
180,2,0,0.732,182.9
180,2,0,0.667,124.1
180,1,0,0.756,155.4
180,2,0,0.526,179.1
180,2,0,0.724,139.6
180,1,0,0.847,128.6
180,1,0,0.901,175.9
180,2,0,0.841,190.4
180,1,0,1.593,176.6
180,2,0,0.7,263.3
180,1,0,1.436,148.7
180,1,0,0.589,112.8
180,2,0,0.757,188.6
180,1,0,0.675,164.3
180,1,0,0.609,143.3
180,2,0,0.376,175
180,1,0,0.692,138.3
180,1,0,1.016,191.9
180,2,1,0.717,182.4
180,2,1,0.95,152.4
180,2,1,0.693,133.7
180,1,1,0.98,149.2
180,1,1,1.123,138.5
180,1,1,0.759,140.7
180,2,1,0.856,204.8
180,2,1,0.937,171.5
180,2,1,0.653,205.7
180,2,1,0.607,201.3
180,1,1,0.593,134.7
180,1,1,0.769,161.6
180,2,1,1.286,243.6
180,1,1,0.648,135.5
180,1,1,1.112,147.6
180,1,1,1.039,140
180,2,1,0.999,187.1
180,1,1,1.068,166.3
180,1,1,0.665,166.5
195,2,0,0.409,190.5
195,2,0,0.753,174.8
195,2,0,0.617,174.8
195,1,0,0.542,134.7
195,2,0,0.727,149.3
195,2,0,1.173,185.3
195,2,0,0.452,158.6
195,2,0,1.074,136.5
195,2,0,1.003,165.9
195,2,0,0.645,196.8
195,2,0,0.768,208.2
195,2,0,0.807,153.9
195,1,0,0.453,155.9
195,2,0,0.758,144.4
195,1,0,0.462,117.5
195,2,0,0.746,197.7
195,2,0,0.575,160.1
195,2,1,0.957,170.5
195,2,1,0.758,119.5
195,2,1,0.905,238.5
195,2,1,0.519,197.3
195,1,1,0.575,123.6
195,2,1,0.972,183.9
195,2,1,0.842,160.1
195,2,1,0.47,176.4
195,1,1,1.197,147.9
195,2,1,1.061,209.1
195,1,1,0.761,177
195,2,1,1.045,158.5
195,2,1,0.972,176.1
195,1,1,0.548,143
195,2,1,0.693,148.5
195,2,1,0.795,184.6
195,2,1,1.017,172.2
195,1,1,0.517,133.4
195,2,1,0.669,210.8
195,2,1,0.635,135.2
225,1,0,0.677,143.2
225,1,0,1.195,191.3
225,1,0,0.961,164.8
225,1,0,1.197,144.7
225,1,0,0.871,162.1
225,1,0,0.77,149.4
225,2,0,0.272,203
225,1,0,0.478,115.3
225,1,0,0.783,131.3
225,1,0,1.315,158.8
225,1,0,0.908,162.5
225,1,0,0.638,132.3
225,1,0,1.154,128.2
225,1,0,0.992,129.9
225,2,0,0.516,167.1
225,1,0,0.915,187.4
225,1,0,1.099,120.4
225,1,0,0.572,141
225,1,0,0.605,139.6
225,1,0,0.913,135
225,1,0,0.61,139.1
225,1,1,0.923,156.1
225,2,1,0.703,140.6
225,1,1,0.708,146
225,2,1,0.623,173.2
225,1,1,0.553,172.8
225,2,1,0.479,180
225,1,1,0.524,142.7
225,1,1,0.9,87.6
225,1,1,0.763,157.9
225,1,1,0.701,157
225,1,1,0.696,143.8
225,1,1,0.541,148.6
225,1,1,0.898,106.1
225,1,1,0.944,162.8
225,1,1,0.668,129.6
225,2,1,0.452,215.6
225,1,1,0.851,172.6
225,1,1,1.252,126.7
225,1,1,1.395,271.9
230,1,0,0.421,155.7
230,2,0,0.512,188.5
230,2,0,0.504,176.1
230,2,0,0.714,192
230,2,0,0.716,204.3
230,1,0,0.474,172.2
230,2,0,0.649,213.1
230,2,0,0.613,217.6
230,2,0,0.7,192.5
230,1,0,0.367,146.1
230,2,0,0.704,204.8
230,2,0,0.536,195.7
230,2,0,0.49,156.4
230,1,0,0.442,141.8
230,2,0,0.597,200
230,2,0,0.515,200.4
230,2,0,0.621,214.5
230,2,0,0.758,198.2
230,1,0,0.452,157.2
230,2,0,0.479,160.6
230,1,1,0.964,181.1
230,2,1,1.298,217.2
230,1,1,0.848,142.2
230,1,1,0.73,174.9
230,1,1,0.571,202.4
230,1,1,0.837,133.5
230,1,1,1.116,195.8
230,1,1,1.035,184.2
230,1,1,1.068,219.6
230,1,1,0.406,145.5
230,1,1,0.585,162.3
230,1,1,0.56,169.4
230,1,1,0.949,151.6
230,1,1,0.571,169.7
230,1,1,1.093,185.1
230,1,1,1.189,158.6
230,1,1,0.842,140.7
230,2,1,0.806,213.7
230,1,1,1.347,187.9
